Estados,+++,++-,++N,+-+,+--,+-N,+N+,+N-,+NN,-++,-+-,-+N,--+,---,--N,-N+,-N-,-NN,N++,N+-,N+N,N-+,N--,N-N,NN+,NN-,NNN
VVV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VVC,3.5341589878003314,3.240435543511382,3.498525040892271,3.3487262183089945,3.435370044324915,3.4046987110313633,3.3811895203317093,3.403192009871877,3.3669093729475055,2.3179876770248864,2.3707058616972083,2.41126502778411,1.8920449909462396,2.2546776285948793,2.4409636367880654,2.354891666844508,2.2377696447528894,2.444301953719624,3.447302108379283,3.3999853136705678,3.4402867351847686,3.213737545309089,3.223381357731951,3.4072984829607638,4.01870419394985,3.9397130262289934,4.3442143840307015
VCV,-1.4231329155053463,-1.4564311796734353,-1.3831309630240312,-1.4415036910328223,-1.550938095103139,-1.44280312231124,-1.6205961522900063,-1.5662893979879917,-1.4097349163906792,-1.484815746234184,-1.4496252673428818,-1.4171074666990786,-1.6413173155404301,-1.4547934861253329,-1.4513727521779995,-1.4374020608466738,-1.4300658433574858,-1.7182183703361595,-1.528609070358415,-1.733527884100082,-1.614651269472804,-1.4361941881848634,-1.4544407013912557,-1.4789563094666847,-1.5106334204294654,-1.475580725072105,-0.08611311496200916
VCC,-1.4338868043973878,-1.3815678973893883,-1.6881284638897232,-1.3969871476750841,-1.4016900878696466,-1.4025019512791737,-1.4481713288563536,-1.5454057314833092,-1.58039176324485,-1.4493387871960237,-1.495528636217839,-1.5109801391018465,-1.4531634775126532,-1.5192124630466948,-1.5314172137724862,-1.4108026077046794,-1.3772408119274708,-1.4288166768344277,-1.4613300543757357,-1.4554009349357628,-1.665269342969683,-1.454534316573349,-1.4727001266899586,-1.493215235530478,-1.373709851480349,-1.4288228588512124,-0.30999381258155406
CVV,1.386041821572938,1.9765844816927034,0.4735289187777437,0.6361802921313359,3.7810208954578455,1.4597899212997931,2.1686739768880288,0.9109412692564397,0.5688897478254725,0.8721875429897639,1.0181049527550101,0.579135616532968,0.4103429363574075,0.0,0.8141745758715703,0.8355823467653156,0.3585810122659903,0.9552383226634733,0.9091544169079457,0.49195593623713074,0.4018680778372929,0.8377685386234942,0.7470702851283445,1.491461688185492,1.206497530263995,0.967464773394725,0.7854594870670449
CVC,3.4728537520201765,3.506717036903576,3.425865346610016,3.8455444292307286,3.9516176916926216,4.515961677751013,3.3314966662359358,3.234254261817169,3.304788098277394,2.320465571539553,2.203350043668185,2.2984147380765014,2.2718958122341655,2.2845534410253965,2.278078544965732,2.1186512319073674,2.1195256072903272,2.2806402246749355,2.3496450917668565,2.318312198254102,2.059843390127994,2.2500463304445955,2.4326524423547036,2.3468408345347096,2.023754282708208,2.264731804876769,2.3512237218603045
CCV,3.1706396985104375,3.3759672597753543,3.385674051821081,3.5493460722461787,3.8783061236550167,3.809641455376224,3.4949104721692543,3.34132355304517,3.3847070729276925,1.786725945280918,2.311471507144103,1.9343004964808794,2.2261338449366868,2.2550879494325087,2.1573984811500075,2.241345670357515,2.2259033988357952,2.1468314451604233,2.2638855015108588,1.977127486364397,2.3257667035267513,2.33123070061617,2.115405341321177,2.196908865849166,2.3757325563247425,2.077761422933659,2.0400386114040514
CCC,3.3615443962840925,2.9539769843952666,3.450519514153469,4.041832503712557,3.8733476843521113,4.529320818392005,3.3552875156495983,3.4589614198492455,3.1005136296411777,2.3251456075587407,2.1306504882733632,2.376956060548229,2.304626575983455,2.2346666274973748,2.24418986925001,2.31986769573218,2.253620178236427,2.3360583216087334,2.1808898945165858,1.95768671230537,2.2769328717154815,2.109594628544174,2.2971720132873434,2.276576657428545,2.299094448106244,2.210763701571979,2.3432366202364263
